mvalidtime,free,occupied
2025-03-01 00:00:00.000+0000,576,194
2025-03-01 00:05:00.000+0000,576,194
2025-03-01 00:10:00.000+0000,576,194
2025-03-01 00:13:59.000+0000,576,194
2025-03-01 00:20:01.000+0000,576,194
2025-03-01 00:25:01.000+0000,576,194
2025-03-01 00:29:00.000+0000,576,194
2025-03-01 00:35:03.000+0000,576,194
2025-03-01 00:40:04.000+0000,576,194
2025-03-01 00:45:05.000+0000,576,194
2025-03-01 00:50:05.000+0000,576,194
2025-03-01 00:55:04.000+0000,576,194
2025-03-01 00:59:05.000+0000,576,194
2025-03-01 01:05:05.000+0000,576,194
2025-03-01 01:08:04.000+0000,576,194
2025-03-01 01:15:00.000+0000,576,194
2025-03-01 01:20:01.000+0000,576,194
2025-03-01 01:25:00.000+0000,576,194
2025-03-01 01:30:01.000+0000,576,194
2025-03-01 01:35:00.000+0000,576,194
2025-03-01 01:40:02.000+0000,576,194
2025-03-01 01:44:10.000+0000,576,194
2025-03-01 01:50:03.000+0000,576,194
2025-03-01 01:55:04.000+0000,576,194
2025-03-01 01:59:18.000+0000,576,194
2025-03-01 02:04:12.000+0000,576,194
2025-03-01 02:10:04.000+0000,576,194
2025-03-01 02:15:04.000+0000,576,194
2025-03-01 02:19:59.000+0000,576,194
2025-03-01 02:25:00.000+0000,576,194
2025-03-01 02:30:00.000+0000,576,194
2025-03-01 02:35:00.000+0000,576,194
2025-03-01 02:40:00.000+0000,576,194
2025-03-01 02:44:16.000+0000,576,194
2025-03-01 02:50:02.000+0000,576,194
2025-03-01 02:55:02.000+0000,576,194
2025-03-01 03:00:03.000+0000,576,194
2025-03-01 03:05:03.000+0000,576,194
2025-03-01 03:10:03.000+0000,576,194
2025-03-01 03:15:03.000+0000,576,194
2025-03-01 03:20:03.000+0000,576,194
2025-03-01 03:25:03.000+0000,576,194
2025-03-01 03:29:03.000+0000,576,194
2025-03-01 03:35:04.000+0000,576,194
2025-03-01 03:39:59.000+0000,576,194
2025-03-01 03:44:59.000+0000,576,194
2025-03-01 03:49:59.000+0000,576,194
2025-03-01 03:55:00.000+0000,576,194
2025-03-01 04:00:01.000+0000,576,194
2025-03-01 04:05:01.000+0000,576,194
2025-03-01 04:10:01.000+0000,576,194
2025-03-01 04:15:01.000+0000,576,194
2025-03-01 04:20:02.000+0000,576,194
2025-03-01 04:24:08.000+0000,576,194
2025-03-01 04:29:09.000+0000,576,194
2025-03-01 04:35:05.000+0000,576,194
2025-03-01 04:39:12.000+0000,576,194
2025-03-01 04:45:04.000+0000,576,194
2025-03-01 04:49:59.000+0000,576,194
2025-03-01 04:55:05.000+0000,576,194
2025-03-01 04:59:59.000+0000,576,194
2025-03-01 05:05:00.000+0000,576,194
2025-03-01 05:10:00.000+0000,576,194
2025-03-01 05:15:00.000+0000,576,194
2025-03-01 05:20:00.000+0000,576,194
2025-03-01 05:25:02.000+0000,576,194
2025-03-01 05:30:02.000+0000,576,194
2025-03-01 05:35:04.000+0000,576,194
2025-03-01 05:40:05.000+0000,576,194
2025-03-01 05:44:09.000+0000,576,194
2025-03-01 05:50:05.000+0000,576,194
2025-03-01 05:55:05.000+0000,576,194
2025-03-01 06:00:05.000+0000,576,194
2025-03-01 06:04:59.000+0000,576,194
2025-03-01 06:10:00.000+0000,576,194
2025-03-01 06:14:13.000+0000,576,194
2025-03-01 06:20:01.000+0000,576,194
2025-03-01 06:24:16.000+0000,576,194
2025-03-01 06:30:03.000+0000,576,194
2025-03-01 06:34:20.000+0000,576,194
2025-03-01 06:40:03.000+0000,576,194
2025-03-01 06:44:18.000+0000,576,194
2025-03-01 06:50:03.000+0000,576,194
2025-03-01 06:54:32.000+0000,576,194
2025-03-01 07:00:04.000+0000,576,194
2025-03-01 07:04:12.000+0000,576,194
2025-03-01 07:09:59.000+0000,576,194
2025-03-01 07:14:13.000+0000,576,194
2025-03-01 07:20:00.000+0000,576,194
2025-03-01 07:24:06.000+0000,576,194
2025-03-01 07:29:00.000+0000,576,194
2025-03-01 07:35:03.000+0000,576,194
2025-03-01 07:40:03.000+0000,576,194
2025-03-01 07:44:08.000+0000,576,194
2025-03-01 07:50:04.000+0000,576,194
2025-03-01 07:55:04.000+0000,576,194
2025-03-01 08:00:05.000+0000,576,194
2025-03-01 08:05:05.000+0000,576,194
2025-03-01 08:10:00.000+0000,576,194
2025-03-01 08:14:05.000+0000,576,194
2025-03-01 08:20:01.000+0000,576,194
2025-03-01 08:25:02.000+0000,576,194
2025-03-01 08:30:02.000+0000,576,194
2025-03-01 08:35:02.000+0000,576,194
2025-03-01 08:39:01.000+0000,576,194
2025-03-01 08:44:09.000+0000,576,194
2025-03-01 08:49:03.000+0000,576,194
2025-03-01 08:55:04.000+0000,576,194
2025-03-01 09:00:04.000+0000,576,194
2025-03-01 09:04:06.000+0000,576,194
2025-03-01 09:10:00.000+0000,576,194
2025-03-01 09:14:06.000+0000,576,194
2025-03-01 09:20:02.000+0000,576,194
2025-03-01 09:24:10.000+0000,576,194
2025-03-01 09:29:00.000+0000,576,194
2025-03-01 09:34:02.000+0000,576,194
2025-03-01 09:40:04.000+0000,576,194
2025-03-01 09:44:04.000+0000,576,194
2025-03-01 09:49:03.000+0000,576,194
2025-03-01 09:54:13.000+0000,576,194
2025-03-01 09:59:04.000+0000,576,194
2025-03-01 10:04:14.000+0000,576,194
2025-03-01 10:09:03.000+0000,576,194
2025-03-01 10:15:00.000+0000,576,194
2025-03-01 10:18:59.000+0000,576,194
2025-03-01 10:24:59.000+0000,576,194
2025-03-01 10:28:59.000+0000,576,194
2025-03-01 10:34:06.000+0000,576,194
2025-03-01 10:39:07.000+0000,576,194
2025-03-01 10:44:02.000+0000,576,194
2025-03-01 10:49:02.000+0000,576,194
2025-03-01 10:54:09.000+0000,576,194
2025-03-01 11:00:03.000+0000,576,194
2025-03-01 11:04:14.000+0000,576,194
2025-03-01 11:10:05.000+0000,576,194
2025-03-01 11:14:03.000+0000,576,194
2025-03-01 11:19:04.000+0000,576,194
2025-03-01 11:24:59.000+0000,576,194
2025-03-01 11:30:00.000+0000,576,194
2025-03-01 11:33:59.000+0000,576,194
2025-03-01 11:39:00.000+0000,576,194
